epoch,training_loss,validation_loss
1,2.2393177605438233,nan
2,1.8491255715179444,nan
3,1.2416411152267457,nan
4,0.8539155830192566,nan
5,0.6390050370216369,0.4288787833690643
6,0.521642102098465,nan
7,0.45090631830215455,nan
8,0.4039230559062958,nan
9,0.36766416394233703,nan
10,0.3421149195480347,0.2549142365694046
11,0.3151671019268036,nan
12,0.2933112410259247,nan
13,0.2734877277088165,nan
14,0.25639687274456024,nan
15,0.2409389124250412,0.1863386100769043
16,0.23026599442481996,nan
17,0.21760118230342865,nan
18,0.20597031871318816,nan
19,0.1964580247116089,nan
20,0.18617323556423188,0.14882026002407073
21,0.17922058438301086,nan
22,0.17036100045204164,nan
23,0.16510705981731416,nan
24,0.1587135808134079,nan
25,0.15023023231029511,0.1256222414970398
26,0.14717634430408477,nan
27,0.140654594707489,nan
28,0.13588786834716796,nan
29,0.1316429531812668,nan
30,0.1276982002735138,0.11072399256229401
31,0.12225372989654541,nan
32,0.11743709901332855,nan
33,0.11488290741682053,nan
34,0.11172483303070069,nan
35,0.10880893396615982,0.10099821591377259
36,0.10443279629707336,nan
37,0.09958368236303329,nan
38,0.10014798328876495,nan
39,0.09595951842784882,nan
40,0.09554430722713471,0.09625624034404755
41,0.09425325256109238,nan
42,0.08981073559761048,nan
43,0.08886373684883117,nan
44,0.08554996150016785,nan
45,0.08495369371414184,0.09025511119365692
46,0.08241432559251785,nan
47,0.07923867548465728,nan
48,0.07820895654082298,nan
49,0.07526548080444335,nan
50,0.07446672015309334,0.08562254313230515
51,0.07130107346653938,nan
52,0.0712314818572998,nan
53,0.07051608325004578,nan
54,0.06886695574045182,nan
55,0.06540515184164047,0.08452229595184327
56,0.0659273280787468,nan
57,0.06443810992002487,nan
58,0.06203741960763931,nan
59,0.061545797357559204,nan
60,0.060219919642210004,0.08135981439352036
61,0.05780152787685394,nan
62,0.057393857496976855,nan
63,0.05673703659534454,nan
64,0.05690387925267219,nan
65,0.05580578662395477,0.08091525621414185
66,0.05280364857196808,nan
67,0.05276194642186165,nan
68,0.053271979261040686,nan
69,0.05035146203756333,nan
70,0.052548295686244965,0.07972175008058548
71,0.04989682840466499,nan
72,0.049691398330926895,nan
73,0.050230480266809464,nan
74,0.045872099581956864,nan
75,0.0470938009262085,0.07886641862392425
76,0.04757563210725784,nan
77,0.04602800081014633,nan
78,0.04335359498023987,nan
79,0.043503973257541656,nan
80,0.04375799958586693,0.07858875463008881
81,0.041644308441877366,nan
82,0.04115674407839775,nan
83,0.03922489180445671,nan
84,0.04041968138694763,nan
85,0.03964018590211868,0.07967964148521424
86,0.04009647302269936,nan
87,0.039266723177433016,nan
88,0.039335880593061444,nan
89,0.03660362662732601,nan
90,0.03597178413391113,0.07998938330411912
91,0.03831381356835365,nan
92,0.03598164175748825,nan
93,0.03747752991676331,nan
94,0.03645154678165913,nan
95,0.03567469889461994,0.07805726261138916
96,0.03435303551197052,nan
97,0.033018607325553895,nan
98,0.03381173182010651,nan
99,0.03412923964321613,nan
100,0.03376504359871149,0.07987603398561478
101,0.031511991124153135,nan
102,0.03197484482228756,nan
103,0.03125164069354534,nan
104,0.03020305114030838,0.0815309376835823
105,0.029891756584644318,nan
106,0.03230195872783661,nan
107,0.031214418068528177,nan
108,0.029569932817220687,0.08276533266305923
109,0.03065303355038166,nan
110,0.029724855012893677,nan
111,0.030449404884576797,nan
112,0.028506027833223344,0.08141375752687455
