epoch,training_loss,validation_loss
1,2.2818694598388674,nan
2,2.2169707942199706,nan
3,2.120590700149536,nan
4,1.9859885453033448,nan
5,1.8178492865753173,1.6818285432815552
6,1.6306821737670898,nan
7,1.4379220170211793,nan
8,1.2592773943328857,nan
9,1.0994005786323546,nan
10,0.9712098781204224,0.8289897343635559
11,0.8643341744613647,nan
12,0.783336280708313,nan
13,0.7146459544181823,nan
14,0.6648436397743225,nan
15,0.6207613857460021,0.5175653234004974
16,0.5839160482978821,nan
17,0.5541729907798767,nan
18,0.5281049132728577,nan
19,0.5067055034446716,nan
20,0.48716989663124083,0.40351438684463503
21,0.4697501404285431,nan
22,0.45168066097259524,nan
23,0.43665471910476683,nan
24,0.426987349691391,nan
25,0.4171040911865234,0.34616519541740415
26,0.4037442564964294,nan
27,0.39253875124931337,nan
28,0.3860113310432434,nan
29,0.37627302466392515,nan
30,0.3683316997146606,0.31035279417037964
31,0.36014792232513426,nan
32,0.35111237807273865,nan
33,0.3453206037330627,nan
34,0.3419868107032776,nan
35,0.3329092046737671,0.28362082147598267
36,0.327818248167038,nan
37,0.32377370488166807,nan
38,0.3155330782032013,nan
39,0.30983370982170105,nan
40,0.3057828080654144,0.26192916085720064
41,0.2999287518405914,nan
42,0.2976902305793762,nan
43,0.29144214703559873,nan
44,0.28738775992393495,nan
45,0.28326602446556093,0.24295652434825898
46,0.27669982141494753,nan
47,0.2738461873817444,nan
48,0.2691285401296616,nan
49,0.2643402892303467,nan
50,0.25913685600757597,0.2262082030773163
51,0.2555590514755249,nan
52,0.2522351051044464,nan
53,0.25052623423576353,nan
54,0.2448890857028961,nan
55,0.24340374795913697,0.21170513038635255
56,0.23931657409191132,nan
57,0.23431359563827514,nan
58,0.2303175694847107,nan
59,0.22980428098201752,nan
60,0.2250963047361374,0.19843612649440764
61,0.22171811940193176,nan
62,0.21735161212444307,nan
63,0.21548028206825257,nan
64,0.213159745554924,nan
65,0.21046031331062318,0.18702219026088715
66,0.20569210636138915,nan
67,0.20581612675666808,nan
68,0.20241025758266448,nan
69,0.2002870965242386,nan
70,0.19654165575027466,0.1761841918706894
71,0.19148483830928803,nan
72,0.19478719208717346,nan
73,0.1897706809091568,nan
74,0.1863620948123932,nan
75,0.183817635512352,0.16677705709934235
76,0.18116991759300233,nan
77,0.1815085803604126,nan
78,0.17753255713939667,nan
79,0.17542793175697327,nan
80,0.17424399331092835,0.15865762372016906
81,0.1709972463464737,nan
82,0.16984240406513215,nan
83,0.16647544850826262,nan
84,0.16606933995246886,nan
85,0.16388307114601136,0.15110483837127686
86,0.16352315402507783,nan
87,0.15970042248249053,nan
88,0.15867047819137572,nan
89,0.15743657201290132,nan
90,0.15477461611270904,0.1443291512966156
91,0.15154972318649293,nan
92,0.15076258189201355,nan
93,0.1497613264799118,nan
94,0.1490482081079483,nan
95,0.14682978677749634,0.1380872308254242
96,0.14606808953762054,nan
97,0.14330498192310334,nan
98,0.14316118655204774,nan
99,0.1415637159538269,nan
100,0.1389823126721382,0.13235197858810424
101,0.138093882420063,nan
102,0.1357171753025055,nan
103,0.1343341998052597,nan
104,0.13316762340068816,0.1286533396244049
105,0.13110076255321504,nan
106,0.13094633648395537,nan
107,0.12931945752143859,nan
108,0.12871037687778472,0.12461915653944015
109,0.12621838649749756,nan
110,0.1264872035598755,nan
111,0.12471483158826828,nan
112,0.12182967458963394,0.12130654848814011
113,0.12133162727832794,nan
114,0.12045297003746033,nan
115,0.11916539730548859,nan
116,0.11775942718982696,0.1180867094874382
117,0.11785968593358993,nan
118,0.11898558483600616,nan
119,0.11517285700798034,nan
120,0.11431743966579437,0.11495206564664841
121,0.11361292626857758,nan
122,0.11238041389942169,nan
123,0.1099228985118866,nan
124,0.11021394513845444,0.11214083813428878
125,0.10914086359262466,nan
126,0.10851365782737732,nan
127,0.10745097506523132,nan
128,0.10688363415241242,0.10973286983966828
129,0.10628874408960343,nan
130,0.10459359648704529,nan
131,0.10447423828125,nan
132,0.10254004436731338,0.10703476431369781
133,0.10202492007017136,nan
134,0.10154302660226822,nan
135,0.10090969362020492,nan
136,0.09984994235515594,0.1047514132976532
137,0.09841493654489517,nan
138,0.09611758118629456,nan
139,0.09661203731298447,nan
140,0.09539234615564346,0.10234619290828705
141,0.09473919994831086,nan
142,0.09418670038461685,nan
143,0.0932140677499771,nan
144,0.0924680159330368,0.10044635922908783
145,0.09316363786697388,nan
146,0.0922936781835556,nan
147,0.09171268159151078,nan
148,0.08942542420387269,0.09817272334098816
149,0.08775106853961945,nan
150,0.08880466283082962,nan
151,0.08765482823610306,nan
152,0.0869713986134529,0.09642800880670548
153,0.08510964334726334,nan
154,0.08538515556812286,nan
155,0.08364498504877091,nan
156,0.08366194753170013,0.09472959651947022
157,0.08200639524459839,nan
158,0.08315003541231156,nan
159,0.08282122221231461,nan
160,0.08083623861074447,0.09277292828559876
161,0.08094734409809112,nan
162,0.0804106324481964,nan
163,0.07990914952993393,nan
164,0.07930274080514908,0.09165149182081223
165,0.07804445508956909,nan
166,0.07738940039157867,nan
167,0.07698116085290908,nan
168,0.07608395746707916,0.09012963547706604
169,0.07621717087745666,nan
170,0.07533369520902633,nan
171,0.07419990738868713,nan
172,0.07408779633641242,0.08868481305837632
173,0.07323588015794755,nan
174,0.07404344936370849,nan
175,0.0719740500998497,nan
176,0.073641272149086,0.08738894836902618
177,0.0714924284529686,nan
178,0.07236717700481415,nan
179,0.07027951753854751,nan
180,0.06894592253923416,0.08571039892435074
181,0.06840368841648102,nan
182,0.06846921637296677,nan
183,0.06743829221129417,nan
184,0.06700045365333557,0.08472647514343262
185,0.06729841218471527,nan
186,0.06741161130428314,nan
187,0.06608595762252807,nan
188,0.06616461673736572,0.08389157708883285
189,0.0652963162279129,nan
190,0.06653838418483735,nan
191,0.06444830003976822,nan
192,0.06504099790453911,0.08277895686626434
193,0.06365524891376495,nan
194,0.06374167028903961,nan
195,0.06317910364866257,nan
196,0.06243253867745399,0.081748133456707
197,0.062295364995002746,nan
198,0.06035840836763382,nan
199,0.06212234847784042,nan
200,0.059141354207992554,0.08102307133674622
201,0.0598062080681324,nan
202,0.0597934490942955,nan
203,0.05926150627732277,nan
204,0.0582301846075058,0.0799622991323471
205,0.060151799023151396,nan
206,0.05834866933107376,nan
207,0.05899530794620514,nan
208,0.05620266787290573,0.0788455582499504
209,0.05604839308977127,nan
210,0.054873670217990875,nan
211,0.05550765577077866,nan
212,0.055575041176080704,0.07841358513832092
213,0.05536569214224815,nan
214,0.05630823547363281,nan
215,0.05398407183289528,nan
216,0.0530044885456562,0.0774340875506401
217,0.053581709837913515,nan
218,0.054637548966407774,nan
219,0.05326468721628189,nan
220,0.05329443941235542,0.07693300045728683
221,0.05325281552433968,nan
222,0.051439672980308535,nan
223,0.05252513545155525,nan
224,0.05157719511985779,0.07633524525165558
225,0.0503737583899498,nan
226,0.04890033508300781,nan
227,0.04970066350460053,nan
228,0.04961663952827454,0.07595329301357269
229,0.05039544952988625,nan
230,0.048944722541570666,nan
231,0.04847247374415398,nan
232,0.04723173191964626,0.07531868579387664
233,0.04852096742033959,nan
234,0.04831220442533493,nan
235,0.04721555897712708,nan
236,0.04705308173060417,0.07437499132156372
237,0.046975953310728076,nan
238,0.04613338615179062,nan
239,0.04596895673155785,nan
240,0.046304163650274274,0.07408803765773773
241,0.04614402071237564,nan
242,0.04649403431773186,nan
243,0.0448537981903553,nan
244,0.044333492732048035,0.07329537044763565
245,0.04479451246857643,nan
246,0.044407725093364714,nan
247,0.04429879153251648,nan
248,0.0442040416431427,0.07306648626327515
249,0.04510756574392319,nan
250,0.043695890970230106,nan
251,0.043816516791582105,nan
252,0.042813988543748856,0.07258490048646928
253,0.04177887922286987,nan
254,0.04198298027276993,nan
255,0.04095528167247772,nan
256,0.041835147769451145,0.0720770540356636
257,0.041098172909021374,nan
258,0.04055512636899948,nan
259,0.04205652232408524,nan
260,0.041477689727544786,0.07170683778524399
261,0.040351429803371426,nan
262,0.039039898849725724,nan
263,0.03971511122345924,nan
264,0.04028838700413704,0.07119740443229676
265,0.03907568144440651,nan
266,0.03835270187258721,nan
267,0.0378686068212986,nan
268,0.037801225586533545,0.07095412588119507
