epoch,training_loss,validation_loss
1,2.22970603225708,nan
2,1.9481116593551635,nan
3,1.5016363323974609,nan
4,1.065273886604309,nan
5,0.7877972879981995,0.5967319557189942
6,0.6285657975769043,nan
7,0.5381003021526337,nan
8,0.47844243302345274,nan
9,0.4355582395172119,nan
10,0.40487463117599487,0.3327226783275604
11,0.3802065161037445,nan
12,0.3588375330066681,nan
13,0.34339314032554624,nan
14,0.3294538927173615,nan
15,0.3180762888908386,0.2706846338272095
16,0.30478049077987673,nan
17,0.292007685546875,nan
18,0.278687896232605,nan
19,0.26776380074977874,nan
20,0.26076983462810516,0.22696634912490846
21,0.2510096502399445,nan
22,0.24141666631698608,nan
23,0.23036281123161315,nan
24,0.22336049656391144,nan
25,0.2147902771615982,0.19106230406761168
26,0.20814476001739501,nan
27,0.20122681577682494,nan
28,0.19361814393520355,nan
29,0.18714160529613494,nan
30,0.18226076970100402,0.163594788146019
31,0.17552704130649566,nan
32,0.16762791209697722,nan
33,0.16242235298633576,nan
34,0.15838669152259827,nan
35,0.15512547873973848,0.14315262694358827
36,0.14977142306804658,nan
37,0.145832062292099,nan
38,0.14119689321994783,nan
39,0.13647689227581025,nan
40,0.1323767834162712,0.12806571489572524
41,0.12960248134613037,nan
42,0.1253849462580681,nan
43,0.12281407779693604,nan
44,0.12033024783849716,nan
45,0.11680801269054412,0.11590357716083527
46,0.11188240167379379,nan
47,0.11040311108350753,nan
48,0.1092346368265152,nan
49,0.10585016087532044,nan
50,0.10348065915346145,0.10611286005973816
51,0.09996761200666428,nan
52,0.0990276452088356,nan
53,0.09711285006046295,nan
54,0.09384294877767563,nan
55,0.09277115423202514,0.09919203037023544
56,0.0901861325097084,nan
57,0.08713979603290557,nan
58,0.08619608066797256,nan
59,0.08432035717725754,nan
60,0.08272048316717148,0.09294125610589982
61,0.0823982999753952,nan
62,0.08084712946176528,nan
63,0.0796429604959488,nan
64,0.07778652156114578,nan
65,0.07525786405086517,0.08827791740894318
66,0.07361788592815399,nan
67,0.07210840585231781,nan
68,0.0701201418530941,nan
69,0.06978568819761276,nan
70,0.06866148022890091,0.08488846009969711
71,0.06728815131187439,nan
72,0.06576991013050079,nan
73,0.06394832183837891,nan
74,0.06522065844297409,nan
75,0.0625396476495266,0.08234157246351242
76,0.061817398710250854,nan
77,0.05986712430715561,nan
78,0.060115472401380536,nan
79,0.057946926869153974,nan
80,0.05676759572863579,0.07941685284376145
81,0.05628889505386352,nan
82,0.05580930253148079,nan
83,0.053289154181480405,nan
84,0.05474565685272217,nan
85,0.05283472551703453,0.0781262789964676
86,0.05088181833982468,nan
87,0.052189231272935864,nan
88,0.049675902629494666,nan
89,0.050037881495952605,nan
90,0.04747906244277954,0.07668999925851822
91,0.04811501523852348,nan
92,0.048471495220661166,nan
93,0.04692505127072334,nan
94,0.04598519131422043,nan
95,0.04571073063492775,0.07540262881517411
96,0.04453819932103157,nan
97,0.04377082261443138,nan
98,0.04220279130339623,nan
99,0.04095862016916275,nan
100,0.04207189066529274,0.07497208104133606
101,0.04196249536514282,nan
102,0.03895354942023754,nan
103,0.039682122015953065,nan
104,0.0388698116838932,0.07444090236425399
105,0.038893949609994885,nan
106,0.038405557729005814,nan
107,0.03687294034600258,nan
108,0.037681239327192306,0.07293466773033142
109,0.03498054962038994,nan
110,0.03447296385526657,nan
111,0.03496599129915237,nan
112,0.03570648348331452,0.0733678911447525
113,0.032598734030723574,nan
114,0.03543304414868355,nan
115,0.03363274905204773,nan
116,0.031155840591192245,0.07359612534046173
117,0.03242239733219147,nan
118,0.03094478616476059,nan
119,0.030926161720752715,nan
120,0.03140760786175728,0.07364235925674438
121,0.030073152395486833,nan
122,0.03000557342171669,nan
123,0.029946119344234468,nan
124,0.029574224234223366,0.07358365635871887
125,0.029296915429830553,nan
126,0.027921912890076638,nan
127,0.028268425936698913,nan
128,0.02766094742357731,0.07369802436828614
129,0.0281488973993063,nan
130,0.026911821912527084,nan
131,0.027547475313544272,nan
132,0.026843948562145233,0.07180023775100708
133,0.02596116198927164,nan
134,0.02584736372947693,nan
135,0.025598684168457984,nan
136,0.024517941429615022,0.07271406079530716
137,0.025436906388401986,nan
138,0.02555798022031784,nan
139,0.024189552984833718,nan
140,0.024161003343462942,0.07274078605175019
141,0.021835677654147147,nan
142,0.024083796226978302,nan
143,0.023114499992132186,nan
144,0.02251540903866291,0.07396254587173462
145,0.02211121658205986,nan
146,0.02254871200352907,nan
147,0.021948640822768213,nan
148,0.022622655369639397,0.07322324886322021
149,0.021674604790210723,nan
150,0.021951962894201277,nan
151,0.021561016552448273,nan
152,0.021086988704800604,0.07300606774091721
153,0.021042908495366573,nan
154,0.02022367717206478,nan
155,0.020259480774998666,nan
156,0.02050549081325531,0.07419915729761124
157,0.02003529951751232,nan
158,0.02063553183555603,nan
159,0.019483219625353813,nan
160,0.018500986964404584,0.07505120519399643
