target_arch,source_arch,seed,test_loss
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.1_a0.045,2,0.07063415687084199
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.1_a0.045,3,0.0716673721909523
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.1_a0.045,4,0.07166058661937713
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.1_a0.045,5,0.07371860110759736
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.015,1,0.07048502557277679
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.015,2,0.07063415687084199
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.015,3,0.0716673721909523
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.015,4,0.07166058661937713
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.015,5,0.07371860110759736
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.045,1,0.07048502557277679
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.045,2,0.07063415687084199
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.045,3,0.0716673721909523
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.045,4,0.07166058661937713
mlp_2x_256x128_do0.1_a0.015,mlp_2x_192x192_do0.3_a0.045,5,0.07371860110759736
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.015,1,0.07012154697179794
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.015,2,0.07055068526268006
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.015,3,0.0715968465089798
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.015,4,0.07240080482959747
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.015,5,0.07227548111677169
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.045,1,0.07024207887649536
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.045,2,0.07157450073957443
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.045,3,0.07072125835418701
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.045,4,0.07146325771808625
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.1_a0.045,5,0.07375147296190261
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.3_a0.015,1,0.07240640028715134
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.3_a0.015,2,0.07180244343280792
mlp_2x_256x128_do0.1_a0.015,mlp_3x_192x192x128_do0.3_a0.015,3,0.07201411846876145
