target_arch,source_arch,mean,var,min,max
mlp_3x_252x32x16,mlp_3x_252x32x16,0.08476113968372345,5.814857616808167e-06,0.0812172233581543,0.08733116456270218
mlp_3x_252x32x16,mlp_3x_248x32x92,0.08951836966753006,1.4664183776070917e-05,0.08444720675945282,0.09410747907161712
mlp_3x_252x32x16,mlp_3x_244x48x56,0.08951836966753006,1.4664183776070917e-05,0.08444720675945282,0.09410747907161712
mlp_3x_252x32x16,mlp_3x_216x120x84,0.1025015697145462,1.6177793705403736e-05,0.09859726500511169,0.10890753943920135
mlp_3x_252x32x16,mlp_3x_188x192x112,0.1025015697145462,1.6177793705403736e-05,0.09859726500511169,0.10890753943920135
mlp_3x_252x32x16,mlp_3x_160x264x140,0.10745055663585663,4.597345778040101e-05,0.0993102177619934,0.11664491057395936
mlp_3x_252x32x16,mlp_3x_160x204x224,0.10362464152812959,1.1236321047268274e-05,0.0986262107372284,0.10704589576721191
mlp_3x_252x32x16,mlp_3x_120x204x408,0.13066807338714598,6.026920081342604e-05,0.12145617823600768,0.14060588247776032
mlp_3x_248x32x92,mlp_3x_252x32x16,0.0814665860581398,2.821168516219616e-06,0.07907115197181702,0.08354226322174073
mlp_3x_248x32x92,mlp_3x_248x32x92,0.08018462087631226,1.3048798167679584e-06,0.07884757735729217,0.08163681166172028
mlp_3x_248x32x92,mlp_3x_244x48x56,0.08018462087631226,1.3048798167679584e-06,0.07884757735729217,0.08163681166172028
mlp_3x_248x32x92,mlp_3x_216x120x84,0.0829692844748497,9.370789674357072e-06,0.07865724657773972,0.08666722638607025
mlp_3x_248x32x92,mlp_3x_188x192x112,0.0829692844748497,9.370789674357072e-06,0.07865724657773972,0.08666722638607025
mlp_3x_248x32x92,mlp_3x_160x264x140,0.08572423451662063,2.8100346219320326e-06,0.08355757406949997,0.0884980503320694
mlp_3x_248x32x92,mlp_3x_160x204x224,0.08746658412694931,9.125356970117889e-06,0.08319869329929352,0.09171965280771255
mlp_3x_248x32x92,mlp_3x_120x204x408,0.09180057018518448,1.5365382461106675e-05,0.08692514995336532,0.09720692913532257
mlp_3x_244x48x56,mlp_3x_252x32x16,0.08166012213468551,3.4791315246958014e-06,0.079458256483078,0.08511828010082245
mlp_3x_244x48x56,mlp_3x_248x32x92,0.07759356551647187,2.31225865615531e-06,0.07609611189365387,0.08048441753387452
mlp_3x_244x48x56,mlp_3x_244x48x56,0.07759356551647187,2.31225865615531e-06,0.07609611189365387,0.08048441753387452
mlp_3x_244x48x56,mlp_3x_216x120x84,0.08134402977705002,7.583429284001745e-06,0.07775239754915238,0.08595647755861283
mlp_3x_244x48x56,mlp_3x_188x192x112,0.08134402977705002,7.583429284001745e-06,0.07775239754915238,0.08595647755861283
mlp_3x_244x48x56,mlp_3x_160x264x140,0.08439807481765747,8.593555145881697e-06,0.07996819648742676,0.08772020275592804
mlp_3x_244x48x56,mlp_3x_160x204x224,0.08309404371738434,8.779640401113536e-06,0.0793437252998352,0.08835186126232147
mlp_3x_244x48x56,mlp_3x_120x204x408,0.09283130462169646,1.8722192765644167e-05,0.08585154089927673,0.09785875751972198
mlp_3x_216x120x84,mlp_3x_252x32x16,0.08201185095787049,3.2349005655828425e-06,0.07951687781810761,0.08382262425422668
mlp_3x_216x120x84,mlp_3x_248x32x92,0.07623631397247314,2.2933973155933805e-06,0.07329926300048828,0.07755914692878724
mlp_3x_216x120x84,mlp_3x_244x48x56,0.07623631397247314,2.2933973155933805e-06,0.07329926300048828,0.07755914692878724
mlp_3x_216x120x84,mlp_3x_216x120x84,0.07751559059381485,3.4769299545502497e-06,0.07479911714792252,0.08031281609535218
mlp_3x_216x120x84,mlp_3x_188x192x112,0.07751559059381485,3.4769299545502497e-06,0.07479911714792252,0.08031281609535218
mlp_3x_216x120x84,mlp_3x_160x264x140,0.07918355937480927,3.4924587795050698e-06,0.07658479619026184,0.08129006572961807
mlp_3x_216x120x84,mlp_3x_160x204x224,0.07950930235862733,2.1438954004327167e-06,0.07716903414726257,0.08153358399868012
mlp_3x_216x120x84,mlp_3x_120x204x408,0.08309960462212562,2.2505788870005085e-05,0.07675415427088737,0.08872601544857026
mlp_3x_188x192x112,mlp_3x_252x32x16,0.08506245152950287,1.8786651258921306e-06,0.08340174806118011,0.08717563438415528
mlp_3x_188x192x112,mlp_3x_248x32x92,0.08056241288661957,8.371786415294903e-06,0.0783541517853737,0.08624184052944184
mlp_3x_188x192x112,mlp_3x_244x48x56,0.08056241288661957,8.371786415294903e-06,0.0783541517853737,0.08624184052944184
mlp_3x_188x192x112,mlp_3x_216x120x84,0.07691021100044251,9.366292314157309e-07,0.07552677834033966,0.07817567040920258
mlp_3x_188x192x112,mlp_3x_188x192x112,0.07691021100044251,9.366292314157309e-07,0.07552677834033966,0.07817567040920258
mlp_3x_188x192x112,mlp_3x_160x264x140,0.07705086472511291,4.1616619287089916e-07,0.0761988006234169,0.07798797645568847
mlp_3x_188x192x112,mlp_3x_160x204x224,0.08029918616294861,9.482164418867015e-06,0.07435147650241852,0.08300351126194
mlp_3x_188x192x112,mlp_3x_120x204x408,0.0819558712387085,1.7900003253718256e-05,0.07690575740337371,0.08955231139659882
mlp_3x_160x264x140,mlp_3x_252x32x16,0.08700283833026887,9.92971353416768e-06,0.08208128647804261,0.0912102910041809
mlp_3x_160x264x140,mlp_3x_248x32x92,0.08164248688220978,2.046434945682738e-06,0.07996537026166915,0.08334479712247848
mlp_3x_160x264x140,mlp_3x_244x48x56,0.08164248688220978,2.046434945682738e-06,0.07996537026166915,0.08334479712247848
mlp_3x_160x264x140,mlp_3x_216x120x84,0.0810494141483307,8.396870273562347e-06,0.07734110190868378,0.08462516326904297
mlp_3x_160x264x140,mlp_3x_188x192x112,0.0810494141483307,8.396870273562347e-06,0.07734110190868378,0.08462516326904297
mlp_3x_160x264x140,mlp_3x_160x264x140,0.08008427704095841,7.673136409454217e-06,0.07564389116764068,0.08298925683498383
mlp_3x_160x264x140,mlp_3x_160x204x224,0.08269554763793945,1.7369971727263016e-05,0.07604579529762268,0.0884776525259018
mlp_3x_160x264x140,mlp_3x_120x204x408,0.0810675309419632,1.392244095422341e-05,0.07510587882995605,0.08581496319770814
mlp_3x_160x204x224,mlp_3x_252x32x16,0.08449515481948852,5.985388907833009e-06,0.08130118656158447,0.08861621923446655
mlp_3x_160x204x224,mlp_3x_248x32x92,0.08180341706752778,7.0658452943105565e-06,0.07952768323421479,0.08693408205509186
mlp_3x_160x204x224,mlp_3x_244x48x56,0.08180341706752778,7.0658452943105565e-06,0.07952768323421479,0.08693408205509186
mlp_3x_160x204x224,mlp_3x_216x120x84,0.07739140776395799,7.42745630986294e-06,0.07218963280916214,0.08000048117637634
mlp_3x_160x204x224,mlp_3x_188x192x112,0.07739140776395799,7.42745630986294e-06,0.07218963280916214,0.08000048117637634
mlp_3x_160x204x224,mlp_3x_160x264x140,0.0791828046965599,5.738408550116902e-06,0.07654177148342133,0.08329044244289398
mlp_3x_160x204x224,mlp_3x_160x204x224,0.07950314941883088,4.9171122760141005e-06,0.07574873098134995,0.08215409789085389
mlp_3x_160x204x224,mlp_3x_120x204x408,0.08132257294416427,1.1633509938315863e-05,0.07469238429069519,0.08405078933238982
mlp_3x_120x204x408,mlp_3x_252x32x16,0.08818356196403503,5.146529009310821e-06,0.08491320782899857,0.09194659016132355
mlp_3x_120x204x408,mlp_3x_248x32x92,0.08246298666238785,1.1630115133707986e-05,0.07787635022401809,0.08607899703979492
mlp_3x_120x204x408,mlp_3x_244x48x56,0.08246298666238785,1.1630115133707986e-05,0.07787635022401809,0.08607899703979492
mlp_3x_120x204x408,mlp_3x_216x120x84,0.08293184812784196,2.5313131626015076e-06,0.08015638327598572,0.08507109441757202
mlp_3x_120x204x408,mlp_3x_188x192x112,0.08293184812784196,2.5313131626015076e-06,0.08015638327598572,0.08507109441757202
mlp_3x_120x204x408,mlp_3x_160x264x140,0.08423635761737823,5.920069040896423e-07,0.083525416970253,0.08568660433292388
mlp_3x_120x204x408,mlp_3x_160x204x224,0.08417638211488723,1.090928803834673e-05,0.08132527441978454,0.08972798005342483
mlp_3x_120x204x408,mlp_3x_120x204x408,0.08427788801431656,1.8552692430617182e-06,0.08224352836608886,0.08651487970352173
