epoch,training_loss,validation_loss
1,2.2978010110473632,nan
2,2.280537564086914,nan
3,2.2586021911621095,nan
4,2.2292340724182127,nan
5,2.1893350933074953,2.154290353393555
6,2.1382070570373535,nan
7,2.0746137538909912,nan
8,1.9980088482666016,nan
9,1.9118447793197633,nan
10,1.8145434299468994,1.7263220260620118
11,1.7120308539199829,nan
12,1.6029906705474855,nan
13,1.491805537261963,nan
14,1.3816288564300536,nan
15,1.2730121645736694,1.1477104496002197
16,1.1710531818771361,nan
17,1.0759182789611816,nan
18,0.9928119736862182,nan
19,0.9201257423210144,nan
20,0.8566694990348815,0.7270113907814025
21,0.8031557566833496,nan
22,0.7581351276779175,nan
23,0.7161286249923706,nan
24,0.6797689462280273,nan
25,0.6486553562927246,0.5408026453971863
26,0.6196179000091553,nan
27,0.5963770665359497,nan
28,0.5746547658348083,nan
29,0.5492489503669739,nan
30,0.5300845248794556,0.44199332509040834
31,0.510893606262207,nan
32,0.4907706459236145,nan
33,0.4767495749950409,nan
34,0.46185573977470396,nan
35,0.4475425368404388,0.3752535279273987
36,0.4343254492473602,nan
37,0.42421789513587954,nan
38,0.41573454944610594,nan
39,0.4028581272315979,nan
40,0.39640324851036074,0.3336100822925568
41,0.38656871693611145,nan
42,0.37908534954071044,nan
43,0.36774327637672427,nan
44,0.36431214422225955,nan
45,0.3568262587738037,0.30558078742027284
46,0.3489643535232544,nan
47,0.34430996340751646,nan
48,0.33711863121032715,nan
49,0.33104498045921327,nan
50,0.326908731470108,0.28320089740753174
51,0.31959973993301394,nan
52,0.316919653377533,nan
53,0.3125557495784759,nan
54,0.3073730983066559,nan
55,0.30418961071014405,0.264858599114418
56,0.2954043394947052,nan
57,0.29515119490623476,nan
58,0.29030877827644347,nan
59,0.28488649373054503,nan
60,0.2806269781589508,0.24809346804618834
61,0.27756768318176267,nan
62,0.27288928916931154,nan
63,0.2683453003692627,nan
64,0.2624914354991913,nan
65,0.2622700723361969,0.2329321635723114
66,0.257532082862854,nan
67,0.254890234913826,nan
68,0.24958246920108795,nan
69,0.24556701986789703,nan
70,0.2456946174430847,0.21921903805732726
71,0.24054864711761476,nan
72,0.23950552423000335,nan
73,0.23445863621234894,nan
74,0.23226054142475128,nan
75,0.2278212358570099,0.2067373902797699
76,0.22608995035171509,nan
77,0.2249813890886307,nan
78,0.22142916128635406,nan
79,0.21795139517784118,nan
80,0.21583299275875092,0.1960990650653839
81,0.2124291751909256,nan
82,0.20986156884670257,nan
83,0.2081434420967102,nan
84,0.20414628169536592,nan
85,0.20239970528125764,0.18597246792316438
86,0.20016539824962615,nan
87,0.19927757455348968,nan
88,0.19692080076694488,nan
89,0.1930699402141571,nan
90,0.19170463918209077,0.17704330141544342
91,0.18965159781455992,nan
92,0.18810977209091187,nan
93,0.1854370575094223,nan
94,0.18311638583660125,nan
95,0.1802426363992691,0.1688558663368225
96,0.1785848732328415,nan
97,0.17778402933597565,nan
98,0.1754266315317154,nan
99,0.17301934315681458,nan
100,0.1710097892475128,0.16177490000724792
101,0.1701299494600296,nan
102,0.16850088370800018,nan
103,0.16788870273113252,nan
104,0.16431238025665285,0.15632778453826904
105,0.16408089710712434,nan
106,0.15899890740394593,nan
107,0.15994596150398255,nan
108,0.1570147155380249,0.15161122364997864
109,0.15688514577388762,nan
110,0.15537144800186156,nan
111,0.15399176845312118,nan
112,0.15149185143947602,0.14675889921188354
113,0.1516889058971405,nan
114,0.1500170337533951,nan
115,0.14892041365146638,nan
116,0.14537238720417023,0.14249659969806672
117,0.14309929181098938,nan
118,0.14366110036849974,nan
119,0.14323971444129943,nan
120,0.14036100643634797,0.13850850620269775
121,0.1387622682571411,nan
122,0.13734461452007293,nan
123,0.13680184576034546,nan
124,0.13563344546318054,0.13529585061073304
125,0.13324492403268814,nan
126,0.1334051403427124,nan
127,0.131406893928051,nan
128,0.1310397371315956,0.1317022098302841
129,0.12930529669046403,nan
130,0.12676382318019866,nan
131,0.1264596657061577,nan
132,0.12596268838405608,0.12836077663898468
133,0.12540490329742432,nan
134,0.12435468494653702,nan
135,0.1221102681350708,nan
136,0.12101336788415909,0.12544336557388305
137,0.12206680458545685,nan
138,0.11999801917076111,nan
139,0.11999132116079331,nan
140,0.11785019054174423,0.1226441096663475
141,0.11704001059532165,nan
142,0.11640494431018829,nan
143,0.1167313696360588,nan
144,0.11290118361711501,0.12005483243465423
145,0.11075548244953155,nan
146,0.11158175662755966,nan
147,0.1101549793100357,nan
148,0.10962602996110916,0.11765324975252152
149,0.10941514889240266,nan
150,0.10803809031248093,nan
151,0.1055027834534645,nan
152,0.1054300311756134,0.11536208859682083
153,0.10520282846212387,nan
154,0.1040458812046051,nan
155,0.10304187198638916,nan
156,0.10353491481781006,0.11290031014680862
157,0.10242390834331512,nan
158,0.10105572885274887,nan
159,0.10100579851865768,nan
160,0.09974588647603988,0.1111326227903366
161,0.09768369237184525,nan
162,0.09691711304187775,nan
163,0.09836811884641647,nan
164,0.09828594217061996,0.10907478311061859
165,0.09592878739595413,nan
166,0.09535671391248703,nan
167,0.0943409145116806,nan
