target_arch,source_arch,seed,test_loss
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,1,0.06831461368799209
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,2,0.06903491718769074
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,3,0.0686657781124115
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,4,0.06962872383594514
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,5,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,1,0.06843520905971527
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,2,0.06844949945211411
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,3,0.07118523759841919
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,4,0.07133964262008667
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,5,0.07150305452346802
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,1,0.06929665902853012
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,2,0.06871447123289108
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,3,0.06933873908519744
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,4,0.06973457299470902
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,5,0.07021777250766754
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,1,0.06843520905971527
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,2,0.06844949945211411
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,3,0.07118523759841919
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,4,0.07133964262008667
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,5,0.07150305452346802
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,1,0.06929665902853012
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,2,0.06871447123289108
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,3,0.06933873908519744
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,4,0.06973457299470902
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,5,0.07021777250766754
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,1,0.06788964896202088
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,2,0.0683796287059784
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,3,0.0682995883822441
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,4,0.07015549989938737
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,5,0.07107131752967834
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,1,0.07020246422290802
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,2,0.06900952987670898
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,3,0.06841471135616302
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,4,0.07186901652812958
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,5,0.06763851542472839
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,1,0.06777327085733413
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,2,0.06785425894260406
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,3,0.06795231368541718
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,4,0.07120092375278472
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,5,0.06906748163700104
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,1,0.06831461368799209
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,2,0.06903491718769074
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,3,0.0686657781124115
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,4,0.06962872383594514
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,5,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,1,0.06831461368799209
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,2,0.06903491718769074
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,3,0.0686657781124115
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,4,0.06962872383594514
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,5,0.07232610009908676
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,1,0.07315754336118697
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,2,0.06967730164527892
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,3,0.07097681506872178
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,4,0.07235242605209351
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,5,0.06745758980512619
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,1,0.07315754336118697
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,2,0.06967730164527892
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,3,0.07097681506872178
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,4,0.07235242605209351
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,5,0.06745758980512619
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,1,0.06851546083688737
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,2,0.07021735062599183
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,3,0.06955054925680161
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,4,0.07094277695417404
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,5,0.07250516958236694
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,1,0.06943087762594223
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,2,0.06883230602741242
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,3,0.07175593268871307
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,4,0.07193503413200378
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,5,0.07209717215299606
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,1,0.07053022904396057
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,2,0.0698567158460617
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,3,0.06948368821144103
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,4,0.0704896082162857
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,5,0.07248930578231812
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,1,0.06943087762594223
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,2,0.06883230602741242
