target_arch,source_arch,mean_regret,var_regret,min_regret,max_regret
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.015,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.15_a0.045,0.0005885020661354073,1.7155813933377191e-06,-0.0008230455756187416,0.002519459486007694
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.015,-0.00013358361482620207,1.1774002996226625e-06,-0.0021083275914192123,0.0009820453405380292
mlp_2x_256x128_do0.15_a0.015,mlp_2x_256x128_do0.25_a0.045,0.0005885020661354073,1.7155813933377191e-06,-0.0008230455756187416,0.002519459486007694
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.015,-0.00013358361482620207,1.1774002996226625e-06,-0.0021083275914192123,0.0009820453405380292
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.15_a0.045,-0.0004348898887634262,3.300838343656557e-07,-0.0012547825694084191,0.0005267760634422303
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.015,-0.0001671791028976466,6.096055167508104e-06,-0.004687584674358369,0.0022402926921844396
mlp_2x_256x128_do0.15_a0.015,mlp_2x_192x192_do0.25_a0.045,-0.0008243768095970161,2.3776917359063565e-06,-0.0032586184620857217,0.0015721999168395867
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.0011303086018562309,1.0788095198358986e-05,-0.004868510293960571,0.0048429296731948845
mlp_2x_256x128_do0.15_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.0011303086018562309,1.0788095198358986e-05,-0.004868510293960571,0.0048429296731948845
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.015,-0.0004640030741691531,1.5389188929245641e-06,-0.0022053834319114562,0.0013850445985794102
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.15_a0.045,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.015,-0.00024035510540008353,1.8750511917905108e-06,-0.002272244477272034,0.0010993514180183406
mlp_2x_256x128_do0.15_a0.045,mlp_2x_256x128_do0.25_a0.045,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.015,-0.00024035510540008353,1.8750511917905108e-06,-0.002272244477272034,0.0010993514180183406
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.15_a0.045,-0.0005283477997779812,2.2066109778627096e-07,-0.0011350412845611557,9.016559123993517e-05
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.015,-0.00013260816574096334,1.6154746671999486e-06,-0.0020923403382301364,0.001164906847476957
mlp_2x_256x128_do0.15_a0.045,mlp_2x_192x192_do0.25_a0.045,-0.0004313852310180638,1.598857608870201e-06,-0.002827068591117851,0.0008991462826728885
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.015,-0.0004640030741691531,1.5389188929245641e-06,-0.0022053834319114562,0.0013850445985794102
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.15_a0.045,-0.0004640030741691531,1.5389188929245641e-06,-0.0022053834319114562,0.0013850445985794102
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.0010057375311851551,8.590076073513976e-06,-0.0035192300200462268,0.0047183032870292685
mlp_2x_256x128_do0.15_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.0010057375311851551,8.590076073513976e-06,-0.0035192300200462268,0.0047183032870292685
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.015,0.000705237672328951,7.414178978983735e-07,-0.0005778473019599911,0.0017740281343460035
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.15_a0.045,0.001062822132110594,5.501792229023711e-07,-0.0003024121046066308,0.0019274314284324634
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.015,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.25_a0.015,mlp_2x_256x128_do0.25_a0.045,0.001062822132110594,5.501792229023711e-07,-0.0003024121046066308,0.0019274314284324634
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.015,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.15_a0.045,0.00133963402032852,8.573397175558124e-07,0.0006536982893943777,0.0031226446509361183
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.015,0.0008305597567558248,1.1144014856963749e-06,-0.0006987577557563823,0.0023813646554946832
mlp_2x_256x128_do0.25_a0.015,mlp_2x_192x192_do0.25_a0.045,0.0004006853842735275,1.247960301035996e-06,-0.0017396662354469405,0.001522603785991658
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.015,0.000705237672328951,7.414178978983735e-07,-0.0005778473019599911,0.0017740281343460035
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.15_a0.045,0.000705237672328951,7.414178978983735e-07,-0.0005778473019599911,0.0017740281343460035
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.015,0.0023656972408294674,2.280589992673565e-06,-0.0003817445039749068,0.003818588995933528
mlp_2x_256x128_do0.25_a0.015,mlp_3x_192x192x128_do0.25_a0.045,0.0023656972408294674,2.280589992673565e-06,-0.0003817445039749068,0.003818588995933528
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.015,-4.221601247787476e-05,4.6914774779304124e-07,-0.0012937498211860743,0.0005237094998359754
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.15_a0.045,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.015,-0.0008061217689514149,1.0639419312372813e-06,-0.002569022417068481,0.0005328307628631596
mlp_2x_256x128_do0.25_a0.045,mlp_2x_256x128_do0.25_a0.045,0.0,0.0,0.0,0.0
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.015,-0.0008061217689514149,1.0639419312372813e-06,-0.002569022417068481,0.0005328307628631596
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.15_a0.045,0.00013038986444473266,1.2926542502424566e-06,-0.0017542886972427424,0.0014945027112960863
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.015,-0.0005600155949592595,6.971471635138795e-07,-0.0017314355850219787,0.0006866481423377924
mlp_2x_256x128_do0.25_a0.045,mlp_2x_192x192_do0.25_a0.045,0.0002568135833740215,1.5993425560589976e-06,-0.0011431938409805359,0.0023302322864532515
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.015,-4.221601247787476e-05,4.6914774779304124e-07,-0.0012937498211860743,0.0005237094998359754
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.15_a0.045,-4.221601247787476e-05,4.6914774779304124e-07,-0.0012937498211860743,0.0005237094998359754
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.015,0.0027156468820571877,2.2481302219575775e-06,0.0016191117763519197,0.005561504852771751
mlp_2x_256x128_do0.25_a0.045,mlp_3x_192x192x128_do0.25_a0.045,0.0027156468820571877,2.2481302219575775e-06,0.0016191117763519197,0.005561504852771751
